Date,Power [kWh],Power-1 [kWh],Hour,Temperature [C],Holiday
2019-01-01 01:00:00,87.99,88.677,1,10.3775,1
2019-01-01 02:00:00,94.752,87.99,2,10.260833333333332,1
2019-01-01 03:00:00,88.709,94.752,3,9.666666666666666,1
2019-01-01 04:00:00,88.926,88.709,4,8.640833333333333,1
2019-01-01 05:00:00,89.539,88.926,5,9.093333333333334,1
2019-01-01 06:00:00,92.399,89.539,6,8.3925,1
2019-01-01 07:00:00,99.188,92.399,7,7.697500000000001,1
2019-01-01 08:00:00,106.739,99.188,8,7.696666666666666,1
2019-01-01 09:00:00,105.838,106.739,9,8.685,1
2019-01-01 10:00:00,110.078,105.838,10,9.961666666666668,1
2019-01-01 11:00:00,107.257,110.078,11,11.290833333333332,1
2019-01-01 12:00:00,106.283,107.257,12,12.480833333333337,1
2019-01-01 13:00:00,108.882,106.283,13,14.080833333333333,1
2019-01-01 14:00:00,107.916,108.882,14,15.055,1
2019-01-01 15:00:00,106.191,107.916,15,15.814166666666669,1
2019-01-01 16:00:00,105.455,106.191,16,15.722500000000002,1
2019-01-01 17:00:00,113.57,105.455,17,14.49,1
2019-01-01 18:00:00,103.995,113.57,18,14.13,1
2019-01-01 19:00:00,100.805,103.995,19,13.160833333333334,1
2019-01-01 20:00:00,99.72,100.805,20,12.586666666666666,1
2019-01-01 21:00:00,93.79,99.72,21,13.025833333333331,1
2019-01-01 22:00:00,88.765,93.79,22,12.034999999999998,1
2019-01-01 23:00:00,87.695,88.765,23,11.660833333333334,1
2019-01-02 00:00:00,108.261,87.695,0,11.498333333333331,0
2019-01-02 01:00:00,105.474,108.261,1,11.144166666666663,0
2019-01-02 02:00:00,107.18,105.474,2,10.790833333333332,0
2019-01-02 03:00:00,107.636,107.18,3,10.448333333333334,0
2019-01-02 04:00:00,105.547,107.636,4,10.280833333333334,0
2019-01-02 05:00:00,104.585,105.547,5,10.509166666666667,0
2019-01-02 06:00:00,108.683,104.585,6,10.191666666666666,0
2019-01-02 07:00:00,146.916,108.683,7,9.485833333333334,0
2019-01-02 08:00:00,191.87,146.916,8,9.899166666666668,0
2019-01-02 09:00:00,215.088,191.87,9,10.32,0
2019-01-02 10:00:00,243.252,215.088,10,12.593333333333334,0
2019-01-02 11:00:00,324.193,243.252,11,12.574166666666668,0
2019-01-02 12:00:00,267.701,324.193,12,12.991666666666667,0
2019-01-02 13:00:00,280.792,267.701,13,15.013333333333334,0
2019-01-02 14:00:00,294.921,280.792,14,14.228333333333332,0
2019-01-02 15:00:00,282.85,294.921,15,13.988333333333337,0
2019-01-02 16:00:00,263.802,282.85,16,13.293333333333337,0
2019-01-02 17:00:00,251.11,263.802,17,12.085,0
2019-01-02 18:00:00,206.061,251.11,18,11.010833333333332,0
2019-01-02 19:00:00,168.257,206.061,19,10.745833333333332,0
2019-01-02 20:00:00,144.747,168.257,20,10.4725,0
2019-01-02 21:00:00,121.291,144.747,21,10.11,0
2019-01-02 22:00:00,108.311,121.291,22,10.15,0
2019-01-02 23:00:00,107.698,108.311,23,9.993333333333334,0
2019-01-03 00:00:00,120.159,107.698,0,9.7075,0
2019-01-03 01:00:00,113.308,120.159,1,9.424166666666666,0
2019-01-03 02:00:00,108.948,113.308,2,8.835833333333333,0
2019-01-03 03:00:00,109.082,108.948,3,8.150833333333333,0
