Date,Power [kW],Power-1 [kW],Hour,Temperature [C],Holiday
2017-01-01 01:00:00,99.0541345,100.8100005,1,7.93,1
2017-01-01 02:00:00,98.539567,99.0541345,2,7.263416666666667,1
2017-01-01 03:00:00,101.4357845,98.539567,3,6.831333333333333,1
2017-01-01 04:00:00,98.4816645,101.4357845,4,6.50025,1
2017-01-01 05:00:00,97.805844,98.4816645,5,6.0064166666666665,1
2017-01-01 06:00:00,94.4647605,97.805844,6,5.645833333333333,1
2017-01-01 07:00:00,94.983261,94.4647605,7,5.47775,1
2017-01-01 08:00:00,104.62217,94.983261,8,5.4102500000000004,1
2017-01-01 09:00:00,101.36215,104.62217,9,5.480583333333333,1
2017-01-01 10:00:00,104.6009755,101.36215,10,6.0168333333333335,1
2017-01-01 11:00:00,106.95575,104.6009755,11,6.882416666666667,1
2017-01-01 12:00:00,104.9514495,106.95575,12,7.56,1
2017-01-01 13:00:00,104.791726,104.9514495,13,8.73,1
2017-01-01 14:00:00,107.381825,104.791726,14,9.809166666666666,1
2017-01-01 15:00:00,103.988083,107.381825,15,9.735833333333334,1
2017-01-01 16:00:00,105.216053,103.988083,16,9.525833333333333,1
2017-01-01 17:00:00,107.87345,105.216053,17,8.9725,1
2017-01-01 18:00:00,105.297772,107.87345,18,8.865,1
2017-01-01 19:00:00,105.5317855,105.297772,19,8.984166666666667,1
2017-01-01 20:00:00,110.062383,105.5317855,20,9.186666666666667,1
2017-01-01 21:00:00,104.160698,110.062383,21,9.174166666666666,1
2017-01-01 22:00:00,100.433525,104.160698,22,10.0075,1
2017-01-01 23:00:00,97.65639,100.433525,23,9.882307692307693,1
2017-01-02 00:00:00,112.363625,97.65639,0,9.471666666666666,0
2017-01-02 01:00:00,107.2845925,112.363625,1,10.209166666666667,0
2017-01-02 02:00:00,101.5004605,107.2845925,2,9.975833333333332,0
2017-01-02 03:00:00,107.843297,101.5004605,3,9.791666666666666,0
2017-01-02 04:00:00,101.5987855,107.843297,4,9.895,0
2017-01-02 05:00:00,97.3463385,101.5987855,5,10.0425,0
2017-01-02 06:00:00,117.0218265,97.3463385,6,10.42,0
2017-01-02 07:00:00,141.4750355,117.0218265,7,10.256666666666666,0
2017-01-02 08:00:00,173.4726125,141.4750355,8,10.105833333333333,0
2017-01-02 09:00:00,208.9006395,173.4726125,9,10.384166666666667,0
2017-01-02 10:00:00,227.8812975,208.9006395,10,10.936666666666667,0
2017-01-02 11:00:00,246.750302,227.8812975,11,11.874166666666667,0
2017-01-02 12:00:00,245.2262645,246.750302,12,12.63,0
2017-01-02 13:00:00,249.439163,245.2262645,13,13.6175,0
2017-01-02 14:00:00,242.5824145,249.439163,14,13.714166666666666,0
2017-01-02 15:00:00,249.634939,242.5824145,15,13.200833333333334,0
2017-01-02 16:00:00,242.8253865,249.634939,16,13.099166666666667,0
2017-01-02 17:00:00,247.0542355,242.8253865,17,13.498333333333333,0
2017-01-02 18:00:00,197.702733,247.0542355,18,13.875,0
2017-01-02 19:00:00,152.977531,197.702733,19,13.494166666666667,0
2017-01-02 20:00:00,123.9622605,152.977531,20,13.403333333333334,0
2017-01-02 21:00:00,113.307108,123.9622605,21,13.689166666666667,0
